Year,Anomaly,Temperature,Decade,MA_5,MA_10
1989,0.8826694444444442,13.057666666666668,1980,0.5729194444444443,0.27066111111111113
1990,1.1802527777777774,13.35525,1990,0.6233194444444443,0.4351277777777778
1991,0.33641944444444466,12.511416666666667,1990,0.5719527777777776,0.44821944444444445
1992,0.5534194444444446,12.728416666666668,1990,0.6738194444444444,0.5016861111111112
1993,-0.0929972222222223,12.082,1990,0.48201944444444444,0.5391527777777778
1994,1.392002777777778,13.567,1990,0.43045277777777785,0.6712527777777778
1995,0.22125277777777805,12.39625,1990,0.4549861111111113,0.6690194444444446
1996,0.07858611111111147,12.253583333333333,1990,0.770552777777778,0.5924611111111113
1997,0.6760861111111116,12.851083333333333,1990,0.6642194444444447,0.6308194444444446
1998,1.484836111111111,13.659833333333333,1990,0.702902777777778,0.642627777777778
1999,0.8603361111111113,13.035333333333334,1990,0.8311861111111114,0.7014944444444445
2000,0.4146694444444446,12.589666666666666,2000,0.8302694444444446,0.6867277777777778
2001,0.7200027777777783,12.895000000000001,2000,0.6324361111111112,0.6943361111111112
2002,0.6715027777777779,12.846499999999999,2000,0.7092361111111112,0.7648611111111112
2003,0.49566944444444405,12.670666666666667,2000,0.6857694444444444,0.8155611111111112
2004,1.244336111111111,13.419333333333334,2000,0.698536111111111,0.7534611111111111
2005,0.29733611111111125,12.472333333333333,2000,0.8008527777777777,0.7484361111111112
2006,0.7838361111111114,12.958833333333333,2000,0.8744861111111113,0.7559361111111113
2007,1.183086111111111,13.358083333333333,2000,0.7876361111111112,0.7066611111111112
2008,0.8638361111111115,13.038833333333335,2000,0.8261027777777781,0.6568944444444444
2009,0.810086111111111,12.985083333333334,2000,0.7147861111111112,0.6835361111111112
2010,0.4896694444444447,12.664666666666667,2010,0.5129361111111113,0.6522944444444445
2011,0.22725277777777744,12.40225,2010,0.49258611111111117,0.7446944444444445
2012,0.17383611111111164,12.348833333333333,2010,0.5169527777777778,0.8138111111111112
2013,0.762086111111111,12.937083333333334,2010,0.6632861111111112,0.7911027777777779
2014,0.9319194444444446,13.106916666666665,2010,0.9128361111111113,0.7987111111111113
2015,1.2213361111111114,13.396333333333333,2010,1.0692694444444446,0.8610361111111112
2016,1.4750027777777779,13.65,2010,1.1048361111111114,0.9379444444444445
2017,0.9560027777777783,13.131,2010,1.2051194444444446,
2018,0.9399194444444446,13.114916666666666,2010,1.212602777777778,
2019,1.4333361111111111,13.608333333333333,2010,,
2020,1.2587527777777776,13.433749999999998,2020,,
